id	cond	S1.pre	S2.pre	S1.post	S2.post	V1.pre	V2.pre	V1.post	V2.post
1	aer	21	31	25	35	7	1	19	4
2	aer	15	26	21	29	13	11	16	14
3	aer	18	27	23	31	8	2	3	3
4	aer	17	31	18	39	13	11	15	14
5	aer	15	26	16	29	26	15	32	20
6	aer	17	28	16	28	2	4	2	7
7	aer	15	27	16	34	9	11	10	11
8	aer	17	27	28	30	16	10	20	13
9	aer	20	27	22	39	12	11	4	12
10	aer	17	27	14	30	6	6	22	7
11	aer	15	24	17	25	11	12	11	13
12	aer	22	29	30	29	9	3	19	13
13	aer	14	26	17	29	15	14	9	14
14	aer	21	31	29	30	23	12	35	16
15	aer	18	26	24	32	3	8	20	8
16	aer	18	30	19	41	20	12	27	16
17	aer	20	32	18	33	26	16	26	16
18	aer	16	28	23	25	3	3	11	7
19	aer	20	28	24	29	16	8	31	11
20	aer	24	33	29	29	53	37	63	38
21	aer	17	26	22	26	25	21	7	27
22	aer	19	28	27	31	20	17	15	19
23	aer	16	21	18	30	5	3	13	12
24	aer	16	27	26	29	9	10	19	10
25	aer	16	25	23	31	19	14	21	21
26	aer	16	25	22	26	10	12	17	14
27	aer	19	28	21	33	22	21	21	26
28	aer	19	28	17	34	17	13	21	18
29	aer	12	24	10	25	2	2	7	14
30	aer	19	27	23	28	12	3	22	10
31	aer	20	29	19	34	10	7	4	9
32	aer	18	24	21	24	0	4	22	8
33	aer	19	32	23	32	16	15	24	16
34	aer	20	24	20	22	9	6	10	5
35	aer	17	23	20	22	8	13	6	14
36	aer	19	31	29	34	5	6	10	10
37	aer	17	27	18	28	6	7	10	10
38	aer	23	30	24	29	22	23	25	32
39	aer	17	34	19	40	20	21	36	27
40	aer	26	29	33	34	11	11	22	15
41	aer	22	25	22	29	9	9	7	8
42	aer	21	26	31	30	13	5	15	9
43	aer	16	25	18	26	20	15	11	13
44	aer	19	32	24	37	22	18	43	16
45	aer	20	28	26	33	6	7	20	15
46	aer	22	33	24	37	29	24	30	27
47	aer	20	27	19	32	2	3	3	3
48	aer	17	28	21	28	19	14	18	14
49	aer	17	19	22	24	5	3	2	6
50	aer	18	22	20	23	0	3	6	2
51	aer	23	28	26	30	24	15	26	18
52	aer	18	26	20	24	25	17	20	20
53	aer	16	27	24	29	0	5	6	11
54	aer	19	25	25	25	26	21	34	21
55	aer	22	35	22	35	3	1	4	4
56	aer	16	26	14	34	12	14	20	19
57	aer	18	23	21	26	24	17	26	19
58	aer	20	31	23	34	18	9	27	9
59	aer	20	28	23	30	17	17	28	19
60	aer	14	25	23	26	14	18	13	18
61	aer	17	25	20	34	4	8	3	10
62	aer	21	32	21	34	8	3	11	10
63	aer	17	22	18	32	4	2	0	6
64	aer	19	26	30	29	24	19	43	27
65	aer	15	22	21	25	10	7	6	7
66	aer	14	23	19	24	16	13	3	22
67	aer	20	23	22	27	13	8	27	10
68	aer	21	31	26	38	17	10	19	10
69	aer	17	23	18	30	14	9	11	9
