"ID" "salary" "years" "courses"
"1" 1 67483 5.8 13
"2" 2 77204 7.4 18
"3" 3 64972 6.8 23
"4" 4 94143 8.3 35
"5" 5 78954 8.1 19
"6" 6 65154 6.5 12
"7" 7 80849 8.2 29
"8" 8 83860 9.5 21
"9" 9 81909 7 27
"10" 10 71335 8.4 19
"11" 11 93141 8.6 34
"12" 12 79678 6.8 19
"13" 13 67545 6 15
"14" 14 48424 5.1 4
"15" 15 88499 9 28
"16" 16 74461 7.1 21
"17" 17 74806 6.5 23
"18" 18 86326 8 27
"19" 19 84855 9.7 15
"20" 20 82127 8.4 28
"21" 21 86028 8 24
"22" 22 84386 7.5 24
"23" 23 75895 7.4 16
"24" 24 51128 3.4 11
"25" 25 82438 7.8 20
"26" 26 74326 6.7 20
"27" 27 73130 8.5 16
"28" 28 57351 6.7 4
"29" 29 69262 6.9 16
"30" 30 80015 6.9 28
"31" 31 91304 10 28
"32" 32 73767 8.2 8
"33" 33 79652 8.7 16
"34" 34 74354 8.2 16
"35" 35 58475 5.5 8
"36" 36 70020 7.7 12
"37" 37 70269 8.3 16
"38" 38 74288 7.5 20
"39" 39 88200 7.8 20
"40" 40 84158 9.2 16
"41" 41 73026 8.1 14
"42" 42 71960 6.9 28
"43" 43 83364 10 24
"44" 44 81680 7.4 21
"45" 45 66735 7 1
"46" 46 66510 4.4 12
"47" 47 79375 7.8 20
"48" 48 84222 9.6 20
"49" 49 73652 6.9 16
"50" 50 85573 7.7 34
"51" 51 79777 8.7 35
"52" 52 67656 6 9
"53" 53 79093 8.2 31
"54" 54 61448 4.4 13
"55" 55 92196 7.8 32
"56" 56 98765 9.4 35
"57" 57 70593 6 16
"58" 58 62470 7.6 1
"59" 59 81837 9.1 11
"60" 60 73379 6.6 16
"61" 61 103819 11 32
"62" 62 74529 8.4 16
"63" 63 83277 8.6 17
"64" 64 75336 7.9 12
"65" 65 66081 7.8 8
"66" 66 77266 7.2 12
"67" 67 53340 4.9 14
"68" 68 92587 10.2 31
"69" 69 76839 6.4 20
"70" 70 101071 10.3 36
"71" 71 80706 8 8
"72" 72 66481 7.1 14
"73" 73 82329 9.3 28
"74" 74 63791 6.6 13
"75" 75 59956 6.2 16
"76" 76 78497 8.6 4
"77" 77 69680 8.2 16
"78" 78 75013 7.9 4
"79" 79 75892 6.6 16
"80" 80 67926 6.6 16
"81" 81 68176 8.6 24
"82" 82 73378 7 20
"83" 83 89137 9.6 28
"84" 84 56717 6.9 12
"85" 85 82127 9 29
"86" 86 78995 7.9 24
"87" 87 87757 9 36
"88" 88 71350 6.2 13
"89" 89 79440 8.4 24
"90" 90 78205 6.9 20
"91" 91 68490 6 1
"92" 92 89494 8 11
"93" 93 88925 8.2 27
"94" 94 83403 9.4 26
"95" 95 94042 9 33
"96" 96 81702 8.1 30
"97" 97 59681 5.5 5
"98" 98 68121 7.4 15
"99" 99 60305 7 8
"100" 100 69319 6.7 12
"101" 101 67556 7.4 7
"102" 102 75505 7.1 7
"103" 103 64069 7.5 20
"104" 104 76896 8.3 12
"105" 105 67145 7.7 7
"106" 106 96207 10.2 32
"107" 107 83600 8.6 20
"108" 108 85922 6.7 24
"109" 109 79610 7.3 24
"110" 110 95186 10 35
"111" 111 67371 6.3 20
"112" 112 69460 6.7 14
"113" 113 92187 8.8 33
"114" 114 67192 8.3 7
"115" 115 72511 6.5 16
"116" 116 70286 6.6 19
"117" 117 71160 7.1 21
"118" 118 71651 7.4 16
"119" 119 80930 8.3 20
"120" 120 72872 7.2 14
"121" 121 68929 5.4 16
"122" 122 91116 9.5 29
"123" 123 72425 7.8 20
"124" 124 72845 6.8 8
"125" 125 73798 8.1 2
"126" 126 83552 7.6 24
"127" 127 74117 7.8 9
"128" 128 74548 6.8 24
"129" 129 66820 5 6
"130" 130 71109 8.3 16
"131" 131 75722 8.3 20
"132" 132 67933 6.9 0
"133" 133 81378 9.6 6
"134" 134 56779 4 16
"135" 135 78679 8 0
"136" 136 56563 3.3 12
"137" 137 71388 8.6 23
"138" 138 68661 6 14
"139" 139 67175 5.4 24
"140" 140 74317 6.6 2
"141" 141 52028 4 12
"142" 142 89119 6.9 24
"143" 143 55020 4.5 8
"144" 144 69438 6.8 16
"145" 145 61609 7.1 16
"146" 146 65990 7 15
"147" 147 100046 8.8 24
"148" 148 75209 6.9 20
"149" 149 59564 7.9 16
"150" 150 55313 5.9 15
"151" 151 80402 6.7 0
"152" 152 74777 10.1 20
"153" 153 71183 7.6 16
"154" 154 63848 7.2 20
"155" 155 57150 6.8 25
"156" 156 62098 6.4 19
"157" 157 87000 8.8 16
"158" 158 67545 5.8 9
"159" 159 58387 4.5 16
"160" 160 97431 12.2 24
"161" 161 80101 7.3 26
