subject	condition	time	SR
1	WM	pre	11
2	WM	pre	13
3	WM	pre	16
4	WM	pre	11
5	WM	pre	8
6	WM	pre	15
7	WM	pre	13
8	WM	pre	11
9	WM	pre	12
10	WM	pre	12
11	WM	pre	9
12	WM	pre	13
13	WM	pre	10
14	WM	pre	8
15	WM	pre	14
16	WM	pre	12
17	PE	pre	12
18	PE	pre	15
19	PE	pre	17
20	PE	pre	7
21	PE	pre	13
22	PE	pre	10
23	PE	pre	8
24	PE	pre	15
25	PE	pre	14
26	PE	pre	11
27	PE	pre	10
28	PE	pre	12
29	PE	pre	12
30	PE	pre	14
31	PE	pre	10
32	PE	pre	13
33	DS	pre	12
34	DS	pre	11
35	DS	pre	10
36	DS	pre	6
37	DS	pre	11
38	DS	pre	15
39	DS	pre	18
40	DS	pre	13
41	DS	pre	13
42	DS	pre	10
43	DS	pre	11
44	DS	pre	12
45	DS	pre	12
46	DS	pre	14
47	DS	pre	12
48	DS	pre	16
1	WM	post	13
2	WM	post	12
3	WM	post	17
4	WM	post	13
5	WM	post	9
6	WM	post	15
7	WM	post	14
8	WM	post	13
9	WM	post	15
10	WM	post	11
11	WM	post	11
12	WM	post	14
13	WM	post	13
14	WM	post	10
15	WM	post	15
16	WM	post	14
17	PE	post	13
18	PE	post	14
19	PE	post	17
20	PE	post	9
21	PE	post	13
22	PE	post	10
23	PE	post	9
24	PE	post	14
25	PE	post	14
26	PE	post	10
27	PE	post	12
28	PE	post	12
29	PE	post	12
30	PE	post	14
31	PE	post	11
32	PE	post	10
33	DS	post	17
34	DS	post	17
35	DS	post	14
36	DS	post	9
37	DS	post	13
38	DS	post	18
39	DS	post	19
40	DS	post	15
41	DS	post	14
42	DS	post	12
43	DS	post	15
44	DS	post	14
45	DS	post	13
46	DS	post	16
47	DS	post	14
48	DS	post	15
