PID	Prime	Haste	Helping
1	1	1	4.38
2	1	1	4.58
3	1	1	2.7
4	1	1	3.65
5	1	1	3.84
6	1	1	4.66
7	1	1	2.79
8	1	2	2.39
9	1	2	2.89
10	1	2	1.42
11	1	2	0.36
12	1	2	2.92
13	1	2	2.61
14	1	2	1.41
15	1	3	1.14
16	1	3	1
17	1	3	1
18	1	3	2.17
19	1	3	1.02
20	1	3	2.24
21	1	3	0.43
22	2	1	1.88
23	2	1	2.29
24	2	1	3.31
25	2	1	0.04
26	2	1	1.05
27	2	1	2.17
28	2	1	0.95
29	2	2	0.39
30	2	2	1.69
31	2	2	0.65
32	2	2	2.94
33	2	2	0.89
34	2	2	2.5
35	2	2	2.63
36	2	3	0.26
37	2	3	1
38	2	3	0.06
39	2	3	2.66
40	2	3	0.45
41	2	3	1
42	2	3	0.07
