pid	age	activeyears	endurance
1	60	10	18
2	40	9	36
3	29	2	51
4	47	10	18
5	48	9	23
6	42	6	30
7	55	8	8
8	43	19	40
9	39	9	28
10	51	14	15
11	54	15	49
12	52	4	27
13	53	3	12
14	68	17	43
15	57	24	47
16	30	4	21
17	35	4	32
18	56	16	33
19	62	14	25
20	39	13	30
21	32	5	41
22	67	8	25
23	56	13	45
24	47	14	33
25	47	10	29
26	61	11	44
27	40	15	28
28	49	4	20
29	28	13	45
30	40	6	28
31	44	5	18
32	41	18	29
33	53	13	24
34	67	19	55
35	52	6	26
36	51	10	46
37	46	11	19
38	44	4	25
39	64	16	29
40	58	14	32
41	29	2	32
42	44	11	12
43	51	12	27
44	51	15	33
46	53	10	28
47	44	9	34
48	46	0	28
49	49	14	24
50	34	6	28
51	64	13	25
52	44	9	9
53	37	5	35
54	52	16	36
55	59	12	40
56	60	6	30
57	44	7	14
58	48	4	22
59	56	9	31
60	48	13	18
61	51	16	15
62	47	5	31
63	62	14	11
64	52	14	30
65	45	9	9
66	44	0	7
67	46	14	48
68	42	2	21
69	46	13	43
70	42	13	28
71	52	11	28
72	76	13	13
73	61	11	25
74	34	13	35
75	62	10	13
76	48	9	15
77	47	15	14
78	45	7	29
79	40	5	24
80	64	7	5
81	41	3	11
82	33	2	24
83	39	10	28
84	67	10	22
85	50	16	35
86	44	13	32
87	60	10	8
88	55	11	31
89	39	12	18
90	60	10	34
91	70	14	27
92	56	10	7
93	40	25	32
94	54	12	22
95	44	15	42
96	42	7	10
97	56	12	16
98	53	22	40
99	55	12	28
100	40	12	29
101	69	17	41
102	59	9	16
103	47	10	28
104	45	10	24
105	62	14	17
106	45	5	10
107	45	12	33
108	70	11	14
109	44	11	32
110	64	13	16
111	57	12	19
112	53	14	30
113	48	8	13
114	38	6	7
115	53	12	28
116	34	7	42
117	47	9	39
118	43	14	48
119	62	6	22
120	47	14	34
121	41	20	40
122	43	4	26
123	34	12	10
124	28	14	26
125	55	12	7
126	39	3	17
127	48	11	23
128	47	7	18
129	49	6	3
130	41	5	20
131	46	1	22
133	51	10	31
134	62	13	31
135	67	13	40
136	41	3	22
137	47	11	27
138	48	9	31
139	60	4	26
140	58	26	40
141	36	6	20
142	55	11	13
143	51	16	35
144	60	11	14
145	47	11	34
146	63	10	35
147	40	13	17
148	53	11	31
149	37	13	23
150	48	13	36
151	33	6	21
152	44	14	31
153	32	4	35
154	62	12	17
155	57	11	33
156	62	11	32
157	82	15	18
158	52	23	44
159	45	15	10
160	55	10	22
161	65	18	18
162	47	7	42
163	56	16	52
164	58	11	33
165	43	7	26
166	59	4	15
167	42	7	16
168	27	6	42
169	62	18	29
170	67	9	20
171	28	10	29
172	57	10	17
173	39	7	28
174	51	7	8
175	35	14	38
177	61	9	37
178	36	10	50
179	55	15	42
180	50	10	23
181	60	15	24
182	64	12	21
183	59	8	19
184	47	10	19
185	68	16	30
186	59	18	50
187	44	8	34
188	30	9	21
189	41	11	27
190	20	6	24
191	63	11	16
192	41	11	13
193	60	6	21
194	52	14	15
196	45	10	21
197	42	14	29
198	48	5	40
199	49	13	21
200	43	12	30
201	53	21	26
202	52	13	20
203	46	9	14
204	44	17	33
