salary	age	years	pubs	dept
60072	38	16	22	P
61017	39	14	23	P
61618	38	18	23	P
61976	31	15	14	P
66398	32	30	32	P
67083	39	25	27	P
69314	32	24	29	P
71653	31	29	37	S
72519	66	32	61	S
74821	66	26	69	S
79725	66	29	58	S
80882	66	30	53	S
83525	66	31	46	S
84023	32	5	67	S
89254	34	8	25	S
89387	32	6	39	H
91309	35	7	35	H
91413	38	12	37	H
94553	32	10	17	H
95561	36	11	23	H
96024	37	5	41	H
98398	55	6	21	H
98822	55	13	17	P
101076	55	6	34	P
101330	55	5	32	P
101981	48	19	66	P
104699	43	17	66	P
106374	43	15	66	P
108571	48	21	66	P
109671	42	16	25	S
110178	49	21	67	S
110936	49	23	70	S
111600	46	17	55	S
112355	47	20	62	S
113904	47	19	61	S
115150	45	19	60	S
116494	48	22	67	S
116790	46	18	59	H
117913	43	17	52	H
118314	49	22	69	H
119329	44	17	56	H
121024	40	13	42	H
121878	47	18	56	H
122277	45	18	58	H
124491	44	18	57	P
126868	45	16	52	P
128285	41	14	47	P
131222	55	18	57	P
132000	55	15	50	P
132505	45	30	91	P
133593	45	25	80	P
134198	52	24	77	S
135777	58	29	90	S
135837	59	32	66	S
138672	53	26	83	S
138882	57	29	92	S
141535	59	30	94	S
142191	58	31	98	S
143980	54	28	87	S
154545	59	31	96	H
155845	53	24	75	H
155936	59	33	66	H
156294	57	31	98	H
157228	57	29	89	H
157268	55	29	90	H
158139	55	28	88	H
158199	58	29	92	P
159075	56	27	86	P
160924	51	22	69	P
163279	44	22	77	P
164402	44	22	80	P
165398	44	22	67	P
165695	44	22	67	P
168116	44	22	66	S
170020	44	22	66	S
171435	44	22	44	S
172515	55	32	122	S
172576	61	37	125	S
173199	66	36	122	S
175335	64	40	44	S
176230	62	40	112	S
177797	60	32	110	H
177813	63	34	122	H
179080	66	39	44	H
179944	34	39	98	H
180942	66	32	104	H
181368	44	22	44	H
181427	66	40	44	H
182206	60	32	44	P
184407	64	37	122	P
185797	63	36	44	P
185800	44	22	44	P
186096	67	40	110	P
187338	60	32	122	P
189447	63	34	122	P
189507	54	39	98	S
190120	44	39	104	S
191868	61	32	101	S
197288	61	41	125	S
199606	62	40	124	S
