"subject" "condition" "IQ" "WM" "WM.centered" "D1" "D2"
"1" 1 "control" 134 91 -8.08 0 0
"2" 2 "control" 121 145 45.92 0 0
"3" 3 "control" 86 118 18.92 0 0
"4" 4 "control" 74 105 5.92 0 0
"5" 5 "control" 80 96 -3.08 0 0
"6" 6 "control" 105 133 33.92 0 0
"7" 7 "control" 100 99 -0.0799999999999983 0 0
"8" 8 "control" 121 97 -2.08 0 0
"9" 9 "control" 138 96 -3.08 0 0
"10" 10 "control" 104 105 5.92 0 0
"11" 11 "control" 77 86 -13.08 0 0
"12" 12 "control" 101 101 1.92 0 0
"13" 13 "control" 128 113 13.92 0 0
"14" 14 "control" 103 98 -1.08 0 0
"15" 15 "control" 87 86 -13.08 0 0
"16" 16 "control" 81 83 -16.08 0 0
"17" 17 "control" 71 116 16.92 0 0
"18" 18 "control" 81 136 36.92 0 0
"19" 19 "control" 100 117 17.92 0 0
"20" 20 "control" 106 71 -28.08 0 0
"21" 21 "control" 90 90 -9.08 0 0
"22" 22 "control" 79 100 0.920000000000002 0 0
"23" 23 "control" 102 88 -11.08 0 0
"24" 24 "control" 99 81 -18.08 0 0
"25" 25 "control" 46 90 -9.08 0 0
"26" 26 "control" 78 110 10.92 0 0
"27" 27 "control" 82 105 5.92 0 0
"28" 28 "control" 106 84 -15.08 0 0
"29" 29 "control" 123 115 15.92 0 0
"30" 30 "control" 106 72 -27.08 0 0
"31" 31 "control" 97 110 10.92 0 0
"32" 32 "control" 83 77 -22.08 0 0
"33" 33 "control" 133 112 12.92 0 0
"34" 34 "control" 72 90 -9.08 0 0
"35" 35 "control" 93 82 -17.08 0 0
"36" 36 "control" 117 85 -14.08 0 0
"37" 37 "control" 112 101 1.92 0 0
"38" 38 "control" 112 117 17.92 0 0
"39" 39 "control" 97 80 -19.08 0 0
"40" 40 "control" 114 96 -3.08 0 0
"41" 41 "control" 64 96 -3.08 0 0
"42" 42 "control" 95 110 10.92 0 0
"43" 43 "control" 126 113 13.92 0 0
"44" 44 "control" 141 135 35.92 0 0
"45" 45 "control" 73 118 18.92 0 0
"46" 46 "control" 81 159 59.92 0 0
"47" 47 "control" 68 97 -2.08 0 0
"48" 48 "control" 108 106 6.92 0 0
"49" 49 "control" 106 79 -20.08 0 0
"50" 50 "control" 93 119 19.92 0 0
"51" 51 "threat1" 36 82 -17.08 1 0
"52" 52 "threat1" 56 109 9.92 1 0
"53" 53 "threat1" 44 73 -26.08 1 0
"54" 54 "threat1" 41 108 8.92 1 0
"55" 55 "threat1" 80 126 26.92 1 0
"56" 56 "threat1" 58 99 -0.0799999999999983 1 0
"57" 57 "threat1" 68 129 29.92 1 0
"58" 58 "threat1" 54 85 -14.08 1 0
"59" 59 "threat1" 64 119 19.92 1 0
"60" 60 "threat1" 57 94 -5.08 1 0
"61" 61 "threat1" 32 86 -13.08 1 0
"62" 62 "threat1" 68 126 26.92 1 0
"63" 63 "threat1" 46 97 -2.08 1 0
"64" 64 "threat1" 76 98 -1.08 1 0
"65" 65 "threat1" 35 84 -15.08 1 0
"66" 66 "threat1" 51 131 31.92 1 0
"67" 67 "threat1" 55 103 3.92 1 0
"68" 68 "threat1" 68 138 38.92 1 0
"69" 69 "threat1" 41 95 -4.08 1 0
"70" 70 "threat1" 50 88 -11.08 1 0
