"subject" "condition" "IQ" "WM"
"1" 1 "control" 73 37
"2" 2 "control" 128 77
"3" 3 "control" 83 32
"4" 4 "control" 83 33
"5" 5 "control" 64 53
"6" 6 "control" 95 46
"7" 7 "control" 94 72
"8" 8 "control" 89 61
"9" 9 "control" 98 58
"10" 10 "control" 108 53
"11" 11 "control" 86 42
"12" 12 "control" 77 42
"13" 13 "control" 86 33
"14" 14 "control" 100 57
"15" 15 "control" 97 44
"16" 16 "control" 87 52
"17" 17 "control" 121 70
"18" 18 "control" 106 74
"19" 19 "control" 109 58
"20" 20 "control" 95 49
"21" 21 "control" 104 54
"22" 22 "control" 136 81
"23" 23 "control" 118 65
"24" 24 "control" 95 61
"25" 25 "control" 82 50
"26" 26 "control" 95 57
"27" 27 "control" 96 55
"28" 28 "control" 102 52
"29" 29 "control" 103 59
"30" 30 "control" 107 52
"31" 31 "control" 112 54
"32" 32 "control" 137 71
"33" 33 "control" 90 62
"34" 34 "control" 81 30
"35" 35 "control" 93 45
"36" 36 "control" 91 60
"37" 37 "control" 105 61
"38" 38 "control" 91 73
"39" 39 "control" 114 61
"40" 40 "control" 82 45
"41" 41 "control" 102 42
"42" 42 "control" 79 48
"43" 43 "control" 110 77
"44" 44 "control" 71 32
"45" 45 "control" 94 67
"46" 46 "control" 108 61
"47" 47 "control" 82 23
"48" 48 "control" 103 72
"49" 49 "control" 113 76
"50" 50 "control" 91 57
"51" 51 "threat" 84 50
"52" 52 "threat" 83 39
"53" 53 "threat" 92 38
"54" 54 "threat" 117 63
"55" 55 "threat" 68 36
"56" 56 "threat" 97 54
"57" 57 "threat" 94 45
"58" 58 "threat" 64 36
"59" 59 "threat" 81 55
"60" 60 "threat" 90 46
"61" 61 "threat" 92 38
"62" 62 "threat" 101 74
"63" 63 "threat" 99 48
"64" 64 "threat" 88 25
"65" 65 "threat" 98 54
"66" 66 "threat" 99 66
"67" 67 "threat" 116 50
"68" 68 "threat" 51 15
"69" 69 "threat" 101 44
"70" 70 "threat" 103 59
"71" 71 "threat" 77 43
"72" 72 "threat" 89 43
"73" 73 "threat" 78 31
"74" 74 "threat" 82 43
"75" 75 "threat" 83 53
"76" 76 "threat" 75 39
"77" 77 "threat" 65 26
"78" 78 "threat" 79 44
"79" 79 "threat" 93 36
"80" 80 "threat" 82 45
"81" 81 "threat" 85 42
"82" 82 "threat" 65 36
"83" 83 "threat" 82 35
"84" 84 "threat" 104 43
"85" 85 "threat" 85 65
"86" 86 "threat" 99 43
"87" 87 "threat" 82 28
"88" 88 "threat" 103 57
"89" 89 "threat" 76 29
"90" 90 "threat" 70 20
"91" 91 "threat" 91 58
"92" 92 "threat" 69 24
"93" 93 "threat" 99 59
"94" 94 "threat" 87 38
"95" 95 "threat" 102 56
"96" 96 "threat" 80 36
"97" 97 "threat" 92 59
"98" 98 "threat" 74 26
"99" 99 "threat" 81 55
"100" 100 "threat" 69 28
