cond	pre	post	gain	train
t08	8	9	1	1
t08	8	10	2	1
t08	8	8	0	1
t08	8	7	-1	1
t08	9	11	2	1
t08	9	10	1	1
t08	9	12	3	1
t08	9	11	2	1
t08	10	11	1	1
t08	10	11	1	1
t08	10	9	-1	1
t08	10	12	2	1
t08	11	12	1	1
t08	11	14	3	1
t08	11	14	3	1
t08	12	12	0	1
t08	12	13	1	1
t08	12	13	1	1
t08	12	14	2	1
t08	12	15	3	1
t12	8	10	2	1
t12	8	10	2	1
t12	9	13	4	1
t12	9	11	2	1
t12	9	11	2	1
t12	9	14	5	1
t12	10	12	2	1
t12	10	14	4	1
t12	10	12	2	1
t12	10	12	2	1
t12	11	11	0	1
t12	11	13	2	1
t12	11	15	4	1
t12	12	14	2	1
t12	12	14	2	1
t12	12	17	5	1
t12	12	14	2	1
t12	8	12	4	1
t12	8	10	2	1
t12	9	11	2	1
t17	9	13	4	1
t17	9	13	4	1
t17	9	16	7	1
t17	10	13	3	1
t17	10	16	6	1
t17	10	14	4	1
t17	10	14	4	1
t17	11	14	3	1
t17	11	14	3	1
t17	11	17	6	1
t17	12	16	4	1
t17	12	16	4	1
t17	12	19	7	1
t17	12	15	3	1
t17	8	14	6	1
t17	8	12	4	1
t17	9	13	4	1
t17	9	12	3	1
t17	9	12	3	1
t17	9	15	6	1
t19	10	17	7	1
t19	10	15	5	1
t19	10	19	9	1
t19	10	16	6	1
t19	11	15	4	1
t19	11	18	7	1
t19	11	16	5	1
t19	12	15	3	1
t19	12	18	6	1
t19	12	16	4	1
t19	12	19	7	1
t19	8	13	5	1
t19	8	17	9	1
t19	9	15	6	1
t19	9	13	4	1
t19	9	16	7	1
t19	9	14	5	1
t19	10	13	3	1
t19	10	16	6	1
t19	10	14	4	1
control	8	9	1	0
control	8	10	2	0
control	8	8	0	0
control	8	7	-1	0
control	9	11	2	0
control	9	10	1	0
control	9	12	3	0
control	9	11	2	0
control	10	11	1	0
control	10	11	1	0
control	10	9	-1	0
control	10	12	2	0
control	11	12	1	0
control	11	14	3	0
control	11	14	3	0
control	12	12	0	0
control	12	13	1	0
control	12	13	1	0
control	12	14	2	0
control	12	15	3	0
control	8	10	2	0
control	8	10	2	0
control	9	13	4	0
control	9	11	2	0
control	9	11	2	0
control	9	14	5	0
control	10	12	2	0
control	10	14	4	0
control	10	12	2	0
control	10	12	2	0
control	11	11	0	0
control	11	13	2	0
control	11	15	4	0
control	12	14	2	0
control	12	14	2	0
control	12	17	5	0
control	12	14	2	0
control	8	12	4	0
control	8	10	2	0
control	9	11	2	0
