	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
A	1199	155	229	340	63	147	253	1357.2	93.1	87.3
B	841	2	61	188	54	126	229	25.4	95.8	86.9
C	921	65	134	236	49	150	299	150.2	94	90.4
D	869	18	27	128	22	122	754	28.6	69	73.7
E	1112	42	163	337	55	141	252	174.5	97.3	88.5
F	938	137	205	308	32	91	182	103.3	94.7	90.7
G	1000	75	166	328	88	182	296	167.5	85.2	89.4
H	689	40	46	58	10	78	157	20.9	87.2	75.2
I	938	1	47	179	32	69	141	26.2	95.2	88.8
J	823	47	67	248	29	129	284	25.3	67.7	74.6
K	823	31	46	158	28	66	142	15.2	70.2	67.8
L	780	15	283	940	55	225	958	27.9	94.2	78.6

