diverse	happy	extra
2	1	3
2	1	3
2	1	1
2	1	2.5
1	1	3.25
2	1	3.25
2	1	2
1	1	3.5
3	1	3.5
3	2	3.5
2	2	4
3	2	3.5
3	2	3.75
1	2	3.25
2	2	3
1	2	3.75
1	2	2.5
2	2	3.5
2	2	2
2	2	4.25
4	2	3.25
3	2	3.25
2	2	3.5
4	2	4.75
3	2	3.25
4	2	4
2	2	3.25
2	2	2.5
4	2	2.5
4	2	3.25
2	2	3
3	2	5
2	2	4
1	2	4.5
3	2	3
2	2	3.5
2	2	3.25
3	2	3.75
4	2	3.75
4	2	4.75
2	2	4.25
2	2	1.5
3	2	3.75
1	3	4.75
2	3	3.5
4	3	4
2	3	4
2	3	2.75
2	3	2.5
3	3	4
3	3	3.25
2	3	4
3	3	4.5
2	3	3.25
4	3	4
4	3	4.25
3	3	5
3	3	2.75
3	3	3.25
3	3	3.25
2	3	3.25
2	3	4
3	3	3.25
2	3	4
1	3	3.25
3	3	3.5
3	3	3.75
4	3	4
2	3	4
1	3	3.5
5	3	4
4	3	3.75
2	3	3.25
2	3	2
1	3	3.25
2	3	4.25
3	3	2.75
2	3	3.75
3	3	3.25
1	3	4.25
4	3	3.75
3	3	3.5
2	3	3.75
2	3	3
2	3	4.5
4	3	4.75
1	3	4.5
3	3	3.75
3	3	3
4	3	4.5
4	3	3.75
4	3	3.75
2	3	3.75
3	3	2.75
3	3	4.5
2	3	4
1	3	2.25
1	3	3.5
2	3	4
2	3	3.75
4	3	3
2	3	4.25
4	3	2.5
3	3	3
3	3	4.75
2	3	4.25
2	3	3.25
2	3	3.5
3	3	4
2	3	3.75
2	3	3.5
3	3	4
2	3	3.25
2	3	4.75
4	3	3.5
4	4	3.75
2	4	3
3	4	4
3	4	2.75
4	4	5
4	4	4.25
5	4	4.25
2	4	3.25
2	4	3.5
3	4	4
3	4	3.75
4	4	3.25
3	4	3.5
2	4	3.5
4	4	4.25
3	4	4.5
3	4	2.75
2	4	4.25
4	4	4.5
3	4	2.75
2	4	2.75
2	4	3.75
4	4	3.75
4	4	3.25
2	4	4.25
2	4	4
3	4	3.5
2	4	3.75
3	4	3.5
3	4	3
3	4	3.75
2	4	4.25
3	4	4
3	4	4.25
2	4	3
2	4	3.5
2	4	2.75
3	4	3.5
2	4	3.75
1	4	3
2	4	3
3	4	3.25
4	4	3.25
4	4	3.75
2	4	3
2	4	3
4	4	4.25
3	4	4.25
3	4	4.25
3	4	3
2	4	3
3	4	3.75
2	4	3.75
2	4	3
4	4	3.75
3	4	3.75
2	4	4.75
3	4	3.5
3	4	3.5
2	4	4
2	4	2.5
4	5	3.25
4	5	5
3	5	3
4	5	5
3	5	3
4	5	3.25
2	5	3.75
2	5	3.75
3	5	2.75
2	5	3.75
2	5	4.75
3	5	3.75
