id	cond	verbal.pre	verbal.post	spatial.pre	spatial.post	intel.pre	intel.post
1	fixed	21	25	7	19	1	4
2	fixed	15	21	13	16	11	14
3	fixed	18	23	8	3	2	3
4	fixed	17	18	13	15	11	14
5	fixed	15	16	26	32	15	20
6	fixed	17	16	2	2	4	7
7	fixed	15	16	9	10	11	11
8	fixed	17	28	16	20	10	13
9	fixed	20	22	12	4	11	12
10	fixed	17	14	6	22	6	7
11	fixed	15	17	11	11	12	13
12	fixed	22	30	9	19	3	13
13	fixed	14	17	15	9	14	14
14	fixed	21	29	23	35	12	16
15	fixed	18	24	3	20	8	8
16	fixed	18	19	20	27	12	16
17	fixed	20	18	26	26	16	16
18	fixed	16	23	3	11	3	7
19	fixed	20	24	16	31	8	11
20	fixed	24	29	53	63	37	38
21	fixed	17	22	25	7	21	27
22	fixed	19	27	20	15	17	19
23	fixed	16	18	5	13	3	12
24	fixed	16	26	9	19	10	10
25	fixed	16	23	19	21	14	21
26	fixed	16	22	10	17	12	14
27	fixed	19	21	22	21	21	26
28	fixed	19	17	17	21	13	18
29	fixed	12	10	2	7	2	14
30	fixed	19	23	12	22	3	10
31	fixed	20	19	10	4	7	9
32	fixed	18	21	0	22	4	8
33	fixed	19	23	16	24	15	16
34	fixed	20	20	9	10	6	5
35	fixed	17	20	8	6	13	14
36	fixed	19	29	5	10	6	10
37	fixed	17	18	6	10	7	10
38	fixed	23	24	22	25	23	32
39	fixed	17	19	20	36	21	27
40	fixed	26	33	11	22	11	15
41	fixed	22	22	9	7	9	8
42	fixed	21	31	13	15	5	9
43	fixed	16	18	20	11	15	13
44	fixed	19	24	22	43	18	16
45	fixed	20	26	6	20	7	15
46	fixed	22	24	29	30	24	27
47	fixed	20	19	2	3	3	3
48	fixed	17	21	19	18	14	14
49	fixed	17	22	5	2	3	6
50	fixed	18	20	0	6	3	2
51	malleable	20	24	13	11	8	14
52	malleable	24	27	14	13	10	14
53	malleable	19	29	7	7	5	5
54	malleable	16	20	19	9	15	13
55	malleable	19	28	18	27	11	11
56	malleable	20	27	20	43	13	18
57	malleable	17	25	20	21	11	13
58	malleable	20	21	26	38	14	16
59	malleable	16	26	20	3	12	11
60	malleable	21	33	35	30	26	30
61	malleable	19	26	27	34	19	21
62	malleable	20	25	16	5	13	16
63	malleable	13	22	8	15	3	2
64	malleable	15	20	19	35	15	15
65	malleable	15	23	0	0	0	6
66	malleable	15	25	0	2	2	6
67	malleable	25	29	10	32	2	5
68	malleable	18	31	0	1	0	0
69	malleable	17	26	4	2	5	7
70	malleable	17	20	13	20	12	15
71	malleable	17	22	20	16	15	19
72	malleable	18	22	25	34	16	23
73	malleable	15	21	6	24	3	3
74	malleable	22	31	4	11	6	7
75	malleable	18	24	27	30	19	21
76	malleable	21	28	3	11	1	6
77	malleable	17	21	36	35	26	29
78	malleable	19	24	10	10	9	12
79	malleable	18	20	23	21	17	16
80	malleable	16	25	26	22	20	26
81	malleable	18	28	35	43	24	28
82	malleable	18	26	25	38	23	23
83	malleable	14	22	10	26	5	9
84	malleable	11	20	25	20	21	25
85	malleable	20	26	3	15	5	5
86	malleable	16	28	22	39	19	24
87	malleable	21	21	23	33	16	22
88	malleable	19	29	6	22	5	6
89	malleable	15	22	32	42	20	24
90	malleable	17	23	6	12	7	6
91	malleable	17	23	30	32	23	22
92	malleable	12	23	3	3	1	1
93	malleable	14	14	17	17	16	17
94	malleable	20	27	21	12	14	18
95	malleable	18	23	6	6	2	4
96	malleable	21	28	8	15	8	9
97	malleable	20	31	7	6	6	6
98	malleable	17	25	8	18	4	1
99	malleable	17	27	15	6	20	18
100	malleable	23	30	14	14	11	20
