subject	verdict	danger	rehab	punish	gendet	specdet	incap
1	0	2	2	2	2	0	7
2	0	0	9	0	6	8	2
3	1	6	3	2	10	10	4
4	1	1	3	2	3	2	1
5	0	0	7	4	1	1	10
6	1	10	6	1	8	0	0
7	1	1	1	4	6	1	6
8	1	3	2	4	9	7	8
9	1	9	5	7	10	0	9
10	0	1	7	10	1	0	0
11	0	1	6	1	2	4	7
12	0	4	6	0	4	8	9
13	1	10	5	9	4	4	9
14	0	8	6	3	5	4	6
15	1	8	8	5	3	2	6
16	0	5	9	5	2	4	4
17	1	5	1	4	4	5	3
18	1	4	7	10	9	5	6
19	0	1	9	3	5	7	9
20	1	5	2	5	9	1	7
21	1	3	2	9	9	2	1
22	0	6	1	0	7	8	6
23	1	4	1	3	3	1	7
24	0	3	1	1	2	7	5
25	0	0	3	5	1	2	0
26	0	4	8	10	4	2	6
27	0	3	6	4	4	5	0
28	0	0	10	4	9	2	5
29	1	2	5	10	2	4	3
30	0	3	8	9	9	7	6
31	0	5	4	2	4	2	4
32	1	4	3	10	1	9	4
33	0	4	2	5	2	9	10
34	0	2	5	9	0	8	8
35	1	9	2	0	1	6	5
36	1	7	3	9	5	10	1
37	1	3	8	8	6	7	4
38	0	1	3	10	5	9	0
39	1	3	5	2	4	4	8
40	0	0	3	8	3	4	0
41	1	3	2	10	9	6	6
42	1	3	7	7	3	5	2
43	1	5	1	6	9	10	10
44	1	7	5	1	6	2	6
45	1	4	4	4	10	9	7
46	1	9	2	2	6	1	10
47	0	6	1	9	7	4	1
48	0	0	2	7	0	0	3
49	1	6	3	2	8	1	8
50	1	9	8	10	7	8	7
51	0	5	3	10	3	4	6
52	1	6	2	5	6	3	4
53	0	4	9	6	9	4	0
54	0	3	10	9	9	3	10
55	0	2	9	2	9	6	0
56	0	4	10	10	3	10	4
57	0	4	5	7	2	6	1
58	1	9	2	8	3	6	3
59	1	2	1	7	2	7	2
60	0	5	3	1	1	9	1
61	1	2	8	1	7	8	5
62	0	7	1	3	1	4	6
63	0	1	9	4	8	10	8
64	0	5	2	0	9	6	6
65	1	8	7	9	10	3	3
66	0	1	4	2	8	1	4
67	0	0	8	6	8	1	3
68	1	5	5	3	2	8	0
69	0	1	4	5	9	3	4
70	1	7	0	8	9	8	4
71	0	6	8	1	8	3	2
72	1	5	7	2	8	7	3
73	0	4	10	7	1	6	4
74	0	2	10	9	8	4	1
75	0	9	6	2	0	3	4
76	1	6	5	1	10	10	10
77	1	3	1	7	1	8	2
78	0	3	2	10	7	7	5
79	1	4	7	5	5	1	2
80	1	3	7	4	4	8	7
81	0	0	8	2	9	5	5
82	1	5	6	4	9	9	4
83	0	5	4	0	2	1	10
84	0	2	1	6	0	2	4
85	1	9	9	2	5	7	7
86	0	4	9	4	0	2	6
87	1	2	2	7	10	0	10
88	0	6	5	1	7	9	4
89	0	8	7	10	3	4	3
90	0	2	10	9	6	1	10
91	0	3	1	4	7	7	2
92	0	7	3	2	3	1	10
93	1	1	4	1	2	1	1
94	1	5	8	10	4	4	10
95	1	9	8	1	4	6	0
96	1	3	2	8	9	5	3
97	0	7	4	1	2	8	6
98	0	1	4	6	6	4	8
99	1	6	1	3	5	3	10
100	1	3	6	2	5	3	9
